"seqname","accession","tax_id","species_name","is_type"
"S000008860_Campylobacter_jejuni_SSI_5384-98_Y19244","","197","Campylobacter jejuni","FALSE"
"S000011564_Campylobacter_jejuni_TGH9011_ATCC43431_Z29326","","197","Campylobacter jejuni","FALSE"
"S000332549_Campylobacter_jejuni_subsp._doylei_AY621111","","32021","Campylobacter jejuni subsp. doylei","FALSE"
"S000332550_Campylobacter_jejuni_subsp._jejuni_ATCC_49943_AY621112","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S000392542_Campylobacter_jejuni__NCTC_11351_AF372091","",197,"Campylobacter jejuni","FALSE"
"S000392911_Campylobacter_jejuni_98_E600_5_AF393202","","197","Campylobacter jejuni","FALSE"
"S000392913_Campylobacter_jejuni_WH11_AF393204","","197","Campylobacter jejuni","FALSE"
"S000414267_Campylobacter_jejuni_L04315","","197","Campylobacter jejuni","FALSE"
"S000414431_Campylobacter_jejuni_L14630","","197","Campylobacter jejuni","FALSE"
"S000432837_Campylobacter_jejuni_LMG_9217_AF550626","","197","Campylobacter jejuni","FALSE"
"S000432838_Campylobacter_jejuni_LMG_9243_AF550627","","197","Campylobacter jejuni","FALSE"
"S000432839_Campylobacter_jejuni_H99_240_AF550628","","197","Campylobacter jejuni","FALSE"
"S000432840_Campylobacter_jejuni_B99_224_AF550629","","197","Campylobacter jejuni","FALSE"
"S000432841_Campylobacter_jejuni_B99_206_AF550630","","197","Campylobacter jejuni","FALSE"
"S000436536_Campylobacter_jejuni_M59298","","197","Campylobacter jejuni","FALSE"
"S000452140_Campylobacter_jejuni_6871_AY628389","","197","Campylobacter jejuni","FALSE"
"S000540219_Campylobacter_jejuni_subsp._jejuni_NCTC_11168_AL139074","","192222","Campylobacter jejuni subsp. jejuni NCTC 11168","FALSE"
"S000645684_Campylobacter_jejuni_subsp._jejuni_ATCC_29428_DQ174142","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S000645685_Campylobacter_jejuni_subsp._jejuni_Lio6_DQ174143","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S000645686_Campylobacter_jejuni__LMG_8843_DQ174144","","197","Campylobacter jejuni","FALSE"
"S000927694_Campylobacter_jejuni_subsp._jejuni_13860_02_EU127502","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S000927698_Campylobacter_jejuni_subsp._jejuni_17903_02_EU127506","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S000927713_Campylobacter_jejuni_subsp._jejuni_11036_96_EU127521","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S000927714_Campylobacter_jejuni_subsp._jejuni_1160-2_96_EU127522","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S000927716_Campylobacter_jejuni_subsp._jejuni_10056_03_EU127524","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S000927728_Campylobacter_jejuni_subsp._jejuni_9582_04_EU127536","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S000927729_Campylobacter_jejuni_subsp._jejuni_10626_04_EU127537","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S000927730_Campylobacter_jejuni_subsp._jejuni_19280_02_EU127538","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
"S000927740_Campylobacter_jejuni_subsp._jejuni_11281_04_EU127548","","32022","Campylobacter jejuni subsp. jejuni","FALSE"
